Date,Close
2015-01-02,47.860001
2015-01-05,47.610001
2015-01-06,47.580002
2015-01-07,48.259998
2015-01-08,49.009998
2015-01-09,48.5
2015-01-12,47.349998
2015-01-13,46.709999
2015-01-14,45.66
2015-01-15,45.759998
2015-01-16,46.290001
2015-01-20,45.950001
2015-01-21,45.700001
2015-01-22,46.540001
2015-01-23,46.560001
2015-01-26,46.57
2015-01-27,46.080002
2015-01-28,45.040001
2015-01-29,45.169998
2015-01-30,45.599998
2015-02-02,46.810001
2015-02-03,47.049999
2015-02-04,47.599998
2015-02-05,48.299999
2015-02-06,49.240002
2015-02-09,48.490002
2015-02-10,48.549999
2015-02-11,49.18
2015-02-12,49.75
2015-02-13,49.48
2015-02-17,49.919998
2015-02-18,49.91
2015-02-19,50.299999
2015-02-20,50.939999
2015-02-23,50.790001
2015-02-24,50.650002
2015-02-25,50.790001
2015-02-26,50.639999
2015-02-27,50.16
2015-03-02,50.919998
2015-03-03,50.599998
2015-03-04,51.02
2015-03-05,50.779999
2015-03-06,50.189999
2015-03-09,50.700001
2015-03-10,49.639999
2015-03-11,49.34
2015-03-12,49.990002
2015-03-13,50.25
2015-03-16,50.810001
2015-03-17,50.939999
2015-03-18,49.52
2015-03-19,50.41
2015-03-20,50.439999
2015-03-23,50.330002
2015-03-24,50.169998
2015-03-25,49.16
2015-03-26,49.549999
2015-03-27,49.700001
2015-03-30,50.700001
2015-03-31,50.939999
2015-04-01,50.459999
2015-04-02,50.110001
2015-04-06,50.580002
2015-04-07,50.009998
2015-04-08,49.919998
2015-04-09,50.139999
2015-04-10,50.580002
2015-04-13,50.32
2015-04-14,49.709999
2015-04-15,49.509998
2015-04-16,49.799999
2015-04-17,48.68
2015-04-20,48.34
2015-04-21,48.720001
2015-04-22,48.84
2015-04-23,49.759998
2015-04-24,48.57
2015-04-27,48.259998
2015-04-28,49.32
2015-04-29,48.959999
2015-04-30,48.630001
2015-05-01,49.049999
2015-05-04,49.619999
2015-05-05,49.43
2015-05-06,48.970001
2015-05-07,49.889999
2015-05-08,50.549999
2015-05-11,50.810001
2015-05-12,50.5
2015-05-13,50.75
2015-05-14,51.450001
2015-05-15,51.189999
2015-05-18,51.779999
2015-05-19,52.27
2015-05-20,51.830002
2015-05-21,52.27
2015-05-22,52.619999
2015-05-26,51.93
2015-05-27,52.060001
2015-05-28,52.34
2015-05-29,51.75
2015-06-01,51.490002
2015-06-02,51.599998
2015-06-03,51.950001
2015-06-04,51.330002
2015-06-05,50.529999
2015-06-08,50.029999
2015-06-09,50.139999
2015-06-10,50.759998
2015-06-11,51.09
2015-06-12,50.740002
2015-06-15,50.34
2015-06-16,50.59
2015-06-17,51.049999
2015-06-18,51.279999
2015-06-19,50.389999
2015-06-22,50.619999
2015-06-23,50.540001
2015-06-24,49.740002
2015-06-25,49.959999
2015-06-26,49.700001
2015-06-29,48.549999
2015-06-30,48.810001
2015-07-01,48.709999
2015-07-02,49.130001
2015-07-06,48.759998
2015-07-07,48.84
2015-07-08,47.860001
2015-07-09,49.220001
2015-07-10,50.48
2015-07-13,50.68
2015-07-14,51.16
2015-07-15,51.23
2015-07-16,51.869999
2015-07-17,51.84
2015-07-20,51.75
2015-07-21,51.209999
2015-07-22,51.73
2015-07-23,51.529999
2015-07-24,51.889999
2015-07-27,51.169998
2015-07-28,50.639999
2015-07-29,50.990002
2015-07-30,50.990002
2015-07-31,51.029999
2015-08-03,50.990002
2015-08-04,51.380001
2015-08-05,52.470001
2015-08-06,52.779999
2015-08-07,52.93
2015-08-10,53.549999
2015-08-11,53.310001
2015-08-12,53.040001
2015-08-13,53.630001
2015-08-14,54.259998
2015-08-17,54.169998
2015-08-18,54.310001
2015-08-19,54.029999
2015-08-20,53.060001
2015-08-21,51.549999
2015-08-24,49.639999
2015-08-25,48.84
2015-08-26,49.689999
2015-08-27,51.299999
2015-08-28,51.490002
2015-08-31,51.189999
2015-09-01,50.02
2015-09-02,50.779999
2015-09-03,51.150002
2015-09-04,50.299999
2015-09-08,51.959999
2015-09-09,50.950001
2015-09-10,51.330002
2015-09-11,51.75
2015-09-14,51.369999
2015-09-15,51.73
2015-09-16,51.84
2015-09-17,50.950001
2015-09-18,50.470001
2015-09-21,51.169998
2015-09-22,51.040001
2015-09-23,51.98
2015-09-24,51.939999
2015-09-25,53.48
2015-09-28,52.02
2015-09-29,51.810001
2015-09-30,53.330002
2015-10-01,52.619999
